,peak 1 intensity,peak 1 area,peak 1 perimeter,peak 1 shift,peak 1 eccentricity,peak 2 intensity,peak 2 area,peak 2 perimeter,peak 2 shift,peak 2 eccentricity,peaks PC 1,peaks PC 2,peaks PC 3,peaks PC 4,peaks PC 5,peaks PC 6,peaks PC 7,peaks PC 8,SAED PC 1,SAED PC 2,SAED PC 3,SAED PC 4,SAED PC 5,SAED PC 6,SAED PC 7,SAED PC 8,SAED PC 9,SAED PC 10,SAED PC 11,SAED PC 12,SAED PC 13,SAED PC 14,SAED PC 15,SAED PC 16,SAED PC 17,SAED PC 18,SAED PC 19,SAED PC 20,SAED PC 21,SAED PC 22,SAED PC 23,SAED PC 24,SAED PC 25,SAED PC 26,SAED PC 27,SAED PC 28,SAED PC 29,SAED PC 30,SAED PC 31,SAED PC 32,SAED PC 33,SAED PC 34,SAED PC 35,SAED PC 36,SAED PC 37,SAED PC 38,SAED PC 39,SAED PC 40,SAED PC 41,SAED PC 42,SAED PC 43,SAED PC 44,SAED PC 45,SAED PC 46,SAED PC 47,SAED PC 48,SAED PC 49,SAED PC 50,SAED PC 51,SAED PC 52,SAED PC 53,SAED PC 54,SAED PC 55,SAED PC 56,SAED PC 57,SAED PC 58,SAED PC 59,SAED PC 60,SAED PC 61,SAED PC 62,SAED PC 63,SAED PC 64,SAED PC 65,SAED PC 66,SAED PC 67,SAED PC 68,SAED PC 69,SAED PC 70,SAED PC 71,SAED PC 72,SAED PC 73,SAED PC 74,SAED PC 75,SAED PC 76
peak 1 intensity,1.0,0.9023923322162242,0.8987674302744305,-0.7766665736205635,-0.7468184763345123,0.897022571517075,0.8464830172875224,0.7616826169431803,-0.38727693774728295,0.2871112611338648,-0.8728617551097068,-0.2288895005736435,0.07758492534100003,0.15433385544361874,0.14496728470382797,0.09442940372862345,0.0018658516738057154,0.05207728165590176,-0.9293678979524982,-0.12285563520846093,0.10070555985408747,-0.19905658319727665,0.030846708987505078,-0.09271108855481204,0.02178708998743016,-0.046563676485646535,-0.02871306946225154,-0.0456967650760837,0.033713616082160336,0.07578683524568318,0.02568400878484478,-0.09501546495737986,0.03489919356990297,0.006684817451859582,-0.018805261106912847,0.054767651623411434,0.0023307116054086447,0.0061258030816334135,0.010007387395753126,0.03781016147474275,0.03606984131969538,0.018636900100096044,0.047168065048874545,-0.011877203934589223,0.029222292719753084,0.029825853990408113,-0.03227491573828538,0.01319392233390111,0.027503230549114608,-0.00901811636240026,0.01304279744692702,-0.04863130599824568,-0.015608041952182981,0.020806018581198057,-0.04485829791129245,0.034969802171688935,0.02116856388745165,0.0015128261289694526,-0.0264763955810065,-0.008862908809804396,0.03665852795769141,0.014835227772686132,-0.048036724758536736,-0.01453232787977543,0.008675211153069668,0.04446980006541842,0.04938395119809579,0.027020025722713115,-0.0277909523355407,-0.0004913264370177109,-0.010548782945402752,0.013799413531457187,0.0037428353465573647,-0.013454208408953052,-0.0013929284446136776,-0.010637253925148154,0.009525514463666769,0.030046498585227368,-0.0068309947887141235,-0.005308304467201691,-0.007605577021695598,-0.0194330791463224,0.009025042488403127,0.019874076988757896,0.006874935456271084,-0.004521183856498335,-0.0033307463873298304,-0.06157800616725161,-0.017940894329048628,-0.010158020010191681,-0.010082849423481824,0.014845584719973598,-0.02798540970961556,-0.042739211018629736
peak 1 area,0.9023923322162242,1.0,0.9318667003730889,-0.7389562011568221,-0.8022871948229583,0.8406422198861072,0.9386867705825848,0.8179107212103395,-0.5162265811423608,0.34678541472884733,-0.9676837173213558,-0.2521652167957626,0.0009064120056172049,-0.0003241702350544386,-5.157625416630175e-07,3.7152814899131325e-07,3.741607259446758e-09,4.873800673828419e-11,-0.9805156431323623,0.0006632739192499477,0.02713927406536135,0.0777261730603758,0.04478329182694006,0.0027885180227356443,-0.04549664129987628,-0.057127577829620704,-0.01403838732257912,-0.03488650576395045,0.007835243492185628,-0.011014058786934289,-0.01980783480943531,0.0073080292618008065,0.06405816297379117,0.004690069607840159,-0.020716955544105718,-0.009418525730509435,0.038601315946081294,0.018789644188229482,-0.007855782686474468,-0.05361318436408034,0.005242010882044176,0.004247182407591453,-0.0024162580795161165,-0.0356940134275331,-0.030951144432557316,0.025304821394653287,-0.031702214175377906,0.015932170236305988,0.003326183225295134,-0.014809865261673327,0.029619467228454113,0.005636338395010686,-0.012670055509725782,-0.01688144874382461,-0.017813726916145755,0.011522195282567262,-0.030170247173762016,0.009501229095552132,-0.007764768271391249,-0.0008069100613182983,-0.011472674244062587,-0.011738728857442583,0.01994908437907401,-0.02748414500982289,0.011751489118646288,0.0019397673502419704,0.015124002575173863,-0.017744251624336516,0.015468039713182545,-0.0029969998251147636,-0.01231018990685636,-0.00562367258031178,0.0013321049014780237,0.019529538831888366,-0.005343667838610824,0.02254109253122921,0.0034446077485516106,0.023906550205707856,0.0070602995686105275,0.0006671155324508095,0.011799670787812595,-0.006998389558187544,0.00741149841324916,0.008928141767709327,-0.0005738435117322657,-0.0019034058640535546,0.002918541739301629,0.011738591090637056,-0.011481113362232124,0.012004695614541832,0.025198140262819267,-0.0024142227369474602,0.015384175876052127,-0.020087600463063415
peak 1 perimeter,0.8987674302744305,0.9318667003730889,1.0,-0.8305595289262285,-0.8494165069653566,0.8223799827555955,0.8282286113329728,0.7542780824935806,-0.3910353113589661,0.2616125558347943,-0.8678622375487871,-0.3648042704840328,0.1699275247983418,0.2912940128290253,-0.0021402780573137096,-0.000913492600767596,-4.516485984323121e-06,7.739849799266267e-08,-0.9053999826312685,-0.09807472275938853,0.22448324163234465,0.03406005859347132,-0.022770707994330987,-0.0691342822745091,-0.07222417145871776,-0.10508412577645831,-0.029092412731283875,-0.15046620540219777,0.0009251150902838276,0.038271211284178555,-0.03393939574749261,0.006922246514975815,0.03256437511542918,0.022761413163459657,0.032801715055611316,-0.019716328883577484,0.0665678203553948,0.05923733329048931,-0.043164324557398,-0.004879248918325486,0.0013883191080074045,-0.02217217371511342,0.037111722235117446,-0.07019054031989252,-0.04073906243584933,0.004061190699718221,-0.08584594025528339,0.07306956689247605,0.04283676763378025,0.03525921680987771,0.002835336627817297,-0.02522140807734268,-0.02963818924713601,0.057806623316303526,-0.032489105250424095,0.08336308616039366,-0.006594980068136552,-0.03999055148136599,-0.016107014730973285,0.00673093729146157,-0.026280244842261623,-0.0016974401143712817,0.021136447594213282,-0.025924345053326168,0.009268857470664985,0.010576500302395394,0.030847256368260745,-0.0298448153227486,0.005246996645629288,0.023101660458669123,-0.025718813799612827,0.0007799635442059574,0.032303740036089296,0.05392636727609925,-0.038239360209015,0.024406282413380994,0.026741534966868565,0.036867840276458466,0.02189213102550186,0.020179908497732952,0.03598668552567315,0.00991484977553361,0.01313342568594127,-0.009494071655924259,-0.020410125348534317,-0.04237578378072268,-0.004740345531861125,0.00203066476598067,-0.013240546341380798,0.0030029197329713635,0.01923302073961886,-0.02380057155700431,0.01900767401965635,0.011438454681119169
peak 1 shift,-0.7766665736205635,-0.7389562011568221,-0.8305595289262285,1.0,0.7082697444634626,-0.7715284667821158,-0.6706278762952234,-0.6251709317260149,0.3478786585176748,-0.2376923093023616,0.6983593899010527,0.25036282661588993,-0.16496671208247624,-0.36205152284258785,0.0653887892375154,-0.5357620180231552,-0.0008139794992200639,-4.6015482077269296e-06,0.7417145409905058,0.0643684652778112,-0.1923229003746169,0.17493968353109146,0.17015300531995325,0.20867071776870075,0.11980433948295566,0.09156014083384821,0.05906525492736681,0.1665615117776753,0.07111561516750117,-0.08551532681058273,0.08678866759590222,0.1028603288516098,0.05926347388206331,-0.19428315471257163,-0.15542105529971875,0.07496576183140997,-0.13958522386254604,-0.12585441493437974,0.046750041378270685,0.0037672995286743482,0.04283833217111231,-0.004440037339583995,0.02269770690201148,0.11845134613485875,0.006039206292209561,0.055810200754929866,-0.07890200090628502,0.0001832426719311535,-0.09322858848585251,0.09614935947227865,0.05069003577207255,0.012647268220187143,-0.05509819606514716,-0.05450984983486144,0.04056506558692314,-0.07101654859436636,0.024428339391093932,-0.04643421932725866,0.009811092087690133,-0.01925474389012521,0.05712148107049731,-0.05747660154537159,-0.09574701809811223,0.018816472406343994,0.08015946999740348,-0.00843425059073957,-0.03838659742671153,0.06374277169988475,-0.06438879777433149,-0.010006862663267018,0.012922131013905963,0.016242187409438513,-0.02140739778341913,0.05966958747420418,0.06573137859549574,-0.03417014988251907,0.0237049062984918,-0.011013708138533971,-0.012001914450357004,0.019444145441363345,-0.02387031948480403,-0.0011774533066641996,-0.03515855940181491,-0.007272902641537345,0.01961171846560531,-0.015139567180542837,0.010598048708266338,0.006091337808025331,0.04865160898797082,-0.0192578053491185,-0.03581562983018936,-0.0061772708213756675,-0.00833748213589994,-0.008304931470921617
peak 1 eccentricity,-0.7468184763345123,-0.8022871948229583,-0.8494165069653566,0.7082697444634626,1.0,-0.6602630722816681,-0.7081829502394645,-0.6601591257555066,0.3329050432872984,-0.24766370794626194,0.7436451806011395,0.32739124264283664,-0.1930088696186222,-0.17817185033119395,-0.03490471250429894,-0.024121839931743532,0.018033619639374773,0.5183471559231134,0.7730304171082796,-0.030202616554087555,-0.3162253054777985,-0.08687131019971824,-0.04129890527695676,0.20687254582384956,0.13357202995851114,0.1791411889406489,0.07386249407137398,0.050426984452586095,0.16953972028018433,0.11230054544545194,0.03538449877788354,-0.052692089204019875,-0.00350055102351654,-0.0010420743714493702,-0.012441856342941319,0.0008053413298120513,-0.0048497054398262815,0.05281349065350165,0.09847914161398669,0.04566930159065491,0.012023327405661902,0.03692745299641261,-0.08460984574251852,0.04730127259936353,0.08867027258307736,-0.04036900210339075,-0.005229474396979644,0.004000455989652883,0.012072430469359024,-0.0547307316149852,-0.028181937866437645,0.11181484792620267,0.08562024179452854,-0.03390821043728747,-0.029422721280798352,0.007551523304620456,-0.0007836592010591714,-0.011602945722108817,-0.00852625173326716,0.056043444497866496,0.1028989609088886,0.017465210614855814,-0.03458911817080429,0.06639007411286037,0.08414115048949986,-0.029067415649438873,0.018840221456787834,-0.0239593980891917,0.0822151255390605,-0.08599065160800205,0.06981191626577489,0.020321716964262496,-0.034316485009340696,0.05557419989800232,0.0038055375529279884,-0.06005025559345598,-0.030349715067614157,-0.030577622691701632,-0.003785935084225391,0.00806020261126825,-0.057547128589549176,-0.05423025155659732,0.01609097860213951,0.01836068738282467,0.06412511037850757,-0.020458281640980503,-0.04533227807460088,0.09115677781411874,-0.013025171545689237,0.0024720335303707775,0.005090594947626695,0.054750184932244025,0.04688138161084431,-0.037382503465730736
peak 2 intensity,0.897022571517075,0.8406422198861072,0.8223799827555955,-0.7715284667821158,-0.6602630722816681,1.0,0.8754060795154002,0.8375561475388658,-0.5441534029297984,0.31587159250730695,-0.8766793933773738,0.03070829813307945,0.10838389196597348,0.1876896826349022,0.09163384624071111,0.16262432250569142,0.01208560298118366,0.08273428231395008,-0.9046328703023132,0.013187744072874449,0.042537262140138594,-0.17084516633039984,-0.08803003336323964,-0.10524502675050887,0.13241045906473958,0.09329059130376842,0.06311182241158231,-0.060759013647706035,0.048905984801925914,0.05546984920200965,-0.03742849067407146,-0.09322394260409997,-0.1815788823212431,0.007376366884668059,0.06941065113576833,-0.006781920126827576,-0.0692300152222165,0.006383350329874854,-0.05751556396032743,0.06046098609571026,0.03182096708453464,-0.02602186765767789,0.02659794116965945,-0.029705559482442363,0.00456068887984148,-0.05212288201301568,0.032585809520704584,0.023065185092976833,-0.012244772681035243,-0.02421306847412821,-0.006236141013374783,-0.019408866850602807,0.05069869048712496,0.059222232258618786,0.025321247269615196,0.03635203986526704,-0.011052975071918368,-0.021537261724157306,-0.026010290743749515,-0.024201511251514863,0.030249744552972076,-0.0075609439416632635,-0.028623722321804823,0.012230801339375494,0.02290526335759692,0.04783955664366467,0.007497980393575011,-0.006482123551454757,-0.008292237857860653,-0.026899739387777483,-0.010308769665524095,0.028610790720026785,-0.004582577206082887,-0.010719814994764713,-0.0028829994555950953,0.046456524621943114,-0.008263107597873702,-0.004294217013549194,-0.025382539556314324,-0.00015712535429891061,0.0020084288059012954,0.03082228591041741,0.030234693809894034,-0.00681704277197741,0.020020017210493776,0.0031909438287190065,0.005201463252591628,0.023400590642629546,-0.02901737756135391,0.009145925735884356,0.019185685291844664,-0.0012125235960050397,-0.00592031583339867,-0.038342503778858165
peak 2 area,0.8464830172875224,0.9386867705825848,0.8282286113329728,-0.6706278762952234,-0.7081829502394645,0.8754060795154002,1.0,0.9259882864806169,-0.7043332949128666,0.3994325510820756,-0.9952915135932477,0.09691834399662314,-0.001276594271582883,8.873016665334504e-05,4.802864513248708e-07,-8.452329423984772e-08,-1.4622927738794154e-10,-1.906039416404761e-11,-0.9646613632242332,0.18237193580251637,-0.08238474666250933,0.035412500265783055,-0.010738153303900011,-0.012444227721961708,0.04930372858830866,0.06318110603821975,0.038274120652533515,0.016242001918879867,-0.03570409182566285,0.01402297326439481,-0.024128351592041866,0.07020942320315873,0.005972344936907895,0.0025451154037215433,0.02937984055174544,-0.020245507354607367,0.010551481710161825,0.021154864730027253,0.001988539982102227,-0.00023665257899258577,0.015993422605338262,0.015463901220593029,0.0120829383467345,0.014447475914787313,-0.011900152799699562,0.03426718499741384,0.020613878092641015,0.019046816162512224,-0.004165745983588984,0.026609197640069755,-0.02421195506218152,0.0347134355811764,0.008467199074384322,0.010900471143705034,-0.0007163399413009083,-0.022347780967801836,0.024366418001988834,-0.009948325413322402,-0.015786589500626686,-0.0045402928079536775,-0.0006925777507586828,-0.006253026950022685,-0.03134903084154734,0.0021078796865307047,-0.00018909943196174445,-0.00998775307272691,0.014757215822465392,-0.021365608520826303,0.01841551493833896,-0.006357389660680653,0.006162279037150004,-0.004317201633489366,-0.007827388107588252,-0.008021039126606982,0.007094719207772837,-0.0039412365121941455,-0.007295610138914675,-0.00795747068559827,-0.012782731436226128,0.011308000984621912,-0.00666838340801005,-0.003806022589835374,-0.0053392437276815075,-0.004470629792288866,0.01147093137192772,-0.020257595084768206,-0.005018476190891824,0.0049161338379592814,-0.0013651724620531236,0.009433843978103958,0.008689849658202839,-0.0017959764970743755,0.0041876111073178455,-0.04343172878206866
peak 2 perimeter,0.7616826169431803,0.8179107212103395,0.7542780824935806,-0.6251709317260149,-0.6601591257555066,0.8375561475388658,0.9259882864806169,1.0,-0.803803822098381,0.39471539181827997,-0.9074408179197576,0.2400094794110445,0.344577161216001,-0.01459428381572829,0.000445285542293668,1.830164177734216e-05,1.5467572734385206e-07,4.891640902094791e-09,-0.8568078603335413,0.21983811386000437,-0.032896870238344915,0.013265042069998161,-0.08605911900261934,-0.12285062435755485,0.24203936638144058,0.029674222030253702,0.09361946913403141,-0.02024131767090516,-0.06769658903600421,0.11844114781529386,-0.06869113612177948,0.1828861107952357,0.020413167031618513,0.018329528730997927,0.11285380260061506,-0.015625243541412568,-0.027148703287360056,0.024301310840804235,-0.017819292244141277,-0.012166654808300884,-0.031056338302696333,0.022876386306926982,0.06861439369073707,0.021882301346821405,-0.008052582109785588,0.01973520991954566,0.005397587152843753,-0.0027233960319956083,-0.055014316620600745,0.08720447856714682,-0.04856197197489754,0.007474663696842632,-0.018671635649354566,0.029236829485842938,0.011642838936999602,-0.034592761384791344,0.06596134734496233,-0.04714239766845241,-0.05090025916858611,-0.03893164265972918,-0.020016192841362506,0.0143867844323501,-0.0301655396878146,0.009797078823590344,-0.023164509199227617,0.02847583093821791,0.041553414447101665,-0.03777672736788297,0.02131396476303898,-0.013066855583077441,0.036919387358095586,-0.0010166519131664547,-0.006185178893303665,0.013836320355936885,0.03605766533126047,0.04278914926152305,-0.0164936145713013,0.0018320690370622855,-0.026633343675096614,0.0008890813489018559,-0.017860005812678468,0.04207391217658288,-0.026990102514186144,0.02258342162848922,0.017550824574451323,-0.03459759046654825,-0.020703609651480548,0.0032955983442972394,-0.03267662149535857,-0.006555327352592749,0.006255035005083621,-0.022954429294711393,-0.005352453890992687,0.00047436263659918996
peak 2 shift,-0.38727693774728295,-0.5162265811423608,-0.3910353113589661,0.3478786585176748,0.3329050432872984,-0.5441534029297984,-0.7043332949128666,-0.803803822098381,1.0,-0.3838897029418481,0.6604415170094842,-0.4883641930870588,-0.24709083213650426,0.16141957826132655,0.48796430434748655,0.00990311963465979,-0.00015443814510308709,1.3025383829142352e-06,0.5489920946328448,-0.4022944073996932,0.38106158928948036,-0.140410586919836,0.13854793598751686,0.1997283688570337,-0.2982954591736876,-0.13835369097488873,0.04410262218769365,0.09373175288116928,0.058177094333834424,-0.15413422922440717,0.1158954245735397,-0.2288601508632435,0.00663057716097167,0.026045344533275384,-0.11379644899183304,-0.022139212088664813,-0.04849727517802462,-0.029138403668820718,0.003025680341533744,0.03109817985703804,0.08114670389688568,0.018795396004336554,-0.07016562902799954,0.00291849120757893,0.06529467496989605,-0.07319580376739881,-0.04976808870559779,0.011243763871975229,0.029347838921106328,-0.01768154374122936,0.03856882296882118,0.01399657052698512,-0.023013321168950465,-0.005352723066935583,-0.029544474655424553,0.1027281947907626,-0.01840572166395815,0.06399795077653682,0.012205575733499771,0.0024198719186025288,0.055042306398101926,-0.03399534554076256,0.0034724960103606657,-0.07137921753606939,0.03239843829114279,-0.010757567007851533,-0.07981631768493648,0.017730543977806164,-0.04943939069706164,0.006955105693412084,0.04668779104516726,0.005374375774956424,-0.015024392231008573,-0.0013000076973096375,-0.03583450612083448,0.008086898945243564,0.042864366858699356,-0.003452524411939887,0.05984923359008256,-0.03552145234996854,0.006081686880843171,-0.028955071979170723,0.009093567010249127,0.02815639532925367,0.016137864669782565,0.047874748204828246,-0.0009744057490918795,-0.023998056896224206,0.025802363648236352,-0.02171053776060897,-0.050849908211909996,0.014542927688037648,-0.012679136456237888,0.008319558496187374
peak 2 eccentricity,0.2871112611338648,0.34678541472884733,0.2616125558347943,-0.2376923093023616,-0.24766370794626194,0.31587159250730695,0.3994325510820756,0.39471539181827997,-0.3838897029418481,1.0,-0.3896539812251646,0.12034150054520976,0.03012776898770868,-0.13009239965405134,-0.08214517940391805,0.06195281957454078,-0.897368329869707,0.00028538447048569014,-0.3487448944316927,0.06596580750600142,-0.1297485504370718,0.03375788025581852,-0.1323513083126764,0.015400073127384069,0.11151994370245519,0.01687464190596175,0.09687011453257686,0.2782807723504345,-0.03206708552417878,-0.09616325799277689,-0.25987409756305624,-0.03218209964215422,0.22578665061983635,0.1988976250559428,0.007314714862285983,0.17495100065261288,-0.046555580497071467,0.12428350933958308,-0.24032671935541755,0.04227736132909176,-0.02998731587519464,0.06518965453277518,-0.05260040492729312,-0.10884664387497257,-0.11810569763677145,0.16913615639956933,0.09149612513749256,0.058124290920374765,-0.19668673060789402,-0.08742440576609789,-0.05957730450822333,-0.010689151139460618,0.010934504771305318,-0.036412640261043835,-0.09375098646006416,0.029692597700564084,-0.1651463758435361,-0.12169159146262548,0.006261101375896783,0.08917621658295365,-0.09946178420354879,0.009325958997548634,-0.214059782597841,0.07134693006395613,-0.0785949447985582,0.12436909754468428,0.06743588728038315,-0.06544942555042116,-0.027823385952997826,0.07110697137687826,-0.07010095727664024,0.031314996051483295,0.003161848720558796,-0.11520880226550315,0.09689426079960256,-0.1045720062935398,-0.08097815375343288,-0.03724131117564849,-0.010862360574405613,0.2148203052446186,0.059408429893290704,0.15178259579645315,-0.09453062335563966,-0.00560673656947126,0.03269411845317186,-0.09334998220862767,0.05881003308636243,-0.05837243387977848,-0.034499511113805746,0.07612135575464427,0.11807058603960452,0.06932295908756504,0.08642918571007896,0.15409997119311702
