,Point Defect Cnts,Clsuter Vlm,PCF PC 1,PCF PC 2,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length
peak 1 intensity,0.894623596837671,0.9169332945480545,-0.9034663974128736,-0.16472449992468183,0.7730786015333826,0.39154364065731606,0.5729441898770304,0.8784624009268959,0.8992958753625608,0.6698265090011746,0.9106147653531663
peak 1 area,0.9683038045448181,0.9706708089889365,-0.9699130511907299,-0.033288187660088175,0.8758784687288604,0.595327733211689,0.5964577079676721,0.8757092173732149,0.9671875375905246,0.7644895524669313,0.9707371955599817
peak 1 perimeter,0.878052572936053,0.8930910978720834,-0.8834511967095245,-0.1251083116104325,0.7844746519442022,0.4184513303416055,0.565734031968937,0.820306437905722,0.8743047840334052,0.6191294256145772,0.8789279378784495
peak 1 shift,-0.7044499732390147,-0.7306106564312604,0.715141555151274,0.1840608958587621,-0.6008191232694483,-0.19324696359505025,-0.4348476007982779,-0.7265772052957086,-0.6952894954875309,-0.42239809892235086,-0.70866798663036
peak 1 eccentricity,-0.7589947318701055,-0.7871271554262527,0.7657237528415781,0.2819486346814186,-0.6544411106137392,-0.3499522817135564,-0.5921036668386935,-0.785366791063379,-0.7311074295647293,-0.4516644072344573,-0.7565826789149068
peak 2 intensity,0.8643765828028895,0.8820169015514212,-0.876581170344164,-0.09938031846889141,0.7162864362957106,0.31940629852425784,0.5561420196167635,0.857984709185099,0.8414702770630096,0.6344543143107667,0.8591018816014562
peak 2 area,0.9457369682839212,0.9477941591704377,-0.9503991643765868,-0.011540934225683188,0.8238992538534555,0.6019640288609227,0.6201715517335444,0.8695188484784669,0.9230183859620379,0.749938163373938,0.9357369405685563
peak 2 perimeter,0.8093799167659845,0.8259581250157789,-0.8218784948922904,-0.09365553327867596,0.6688759398510586,0.4600110078566374,0.5638924580241501,0.7984532858673697,0.7851139295932517,0.6029606586295361,0.8061216521705556
peak 2 shift,-0.5240308893269768,-0.5180305457794429,0.5279539255449343,-0.09690375108559786,-0.42474556986288214,-0.4120106534959426,-0.36861698834984635,-0.5049758296323575,-0.48199459986086834,-0.36740516635116144,-0.5018220519749105
peak 2 eccentricity,0.33860091668431125,0.3324443408853494,-0.3417910149473276,0.07231663792141069,0.3371764145083064,0.35331216715565417,-0.03899530244099057,0.2765898828812484,0.34725247056442454,0.20858319069263956,0.33770385311982104
peaks PC 1,-0.9638687054943187,-0.9660688808410297,0.9677450424143194,0.01798823187814957,-0.8487352508721459,-0.607460333815617,-0.6212729541369817,-0.8821923572642724,-0.9469466667469119,-0.7632872884719868,-0.9572583441108161
peaks PC 2,-0.14146065709856492,-0.1422716420720857,0.13290152682582917,0.06217833522602874,-0.216897630438428,-0.03031170298260793,0.01860846142161033,-0.08720418090045984,-0.20186177174802905,-0.10308074654342814,-0.1763185740340601
