,Timestep,DislocationAnalysis.cell_volume,DislocationAnalysis.counts.BCC,DislocationAnalysis.counts.CubicDiamond,DislocationAnalysis.counts.FCC,DislocationAnalysis.counts.HCP,DislocationAnalysis.counts.HexagonalDiamond,DislocationAnalysis.counts.OTHER,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length,PolyhedralTemplateMatching.counts.BCC,PolyhedralTemplateMatching.counts.FCC,PolyhedralTemplateMatching.counts.HCP,PolyhedralTemplateMatching.counts.ICO,PolyhedralTemplateMatching.counts.OTHER,PolyhedralTemplateMatching.counts.SC
0,20000.0,47812740.0,0.0,0.0,3898161.0,16670.0,0.0,85169.0,618.2185668945312,1323.302978515625,408.97308349609375,4634.693359375,23232.1171875,791.5538940429688,31008.8671875,364.0,3912410.0,20919.0,6.0,66300.0,1.0
1,40000.0,47812740.0,0.0,0.0,3846586.0,29333.0,0.0,124081.0,1013.5820922851562,1876.6297607421875,790.2752075195312,7696.310546875,34864.7734375,1089.54443359375,47331.0390625,571.0,3867494.0,36314.0,2.0,95616.0,3.0
2,60000.0,47812740.0,0.0,0.0,3802563.0,37601.0,0.0,159836.0,1435.1689453125,2396.071044921875,1102.5555419921875,10655.7265625,44546.6015625,1438.5341796875,61574.65625,740.0,3828921.0,46106.0,1.0,124230.0,2.0
3,80000.0,47812740.0,0.0,0.0,3791003.0,44168.0,0.0,164829.0,1406.98828125,2481.12841796875,1048.9267578125,12118.0166015625,46710.6171875,1588.18994140625,65353.8984375,690.0,3817389.0,53653.0,4.0,128262.0,2.0
4,100000.0,47812740.0,0.0,0.0,3783088.0,46513.0,0.0,170399.0,1537.263916015625,2350.049560546875,790.68115234375,12453.9921875,47978.3828125,1167.9862060546875,66294.0078125,680.0,3810220.0,56349.0,2.0,132747.0,2.0
5,120000.0,47812740.0,0.0,0.0,3763675.0,48988.0,0.0,187337.0,1509.975341796875,2398.6630859375,1117.0889892578125,14275.8564453125,51388.40625,1464.9656982421875,72154.84375,845.0,3792601.0,59696.0,2.0,146854.0,2.0
6,140000.0,47812740.0,0.0,0.0,3764890.0,47593.0,0.0,187517.0,1719.97509765625,2304.986328125,1169.2181396484375,13997.1943359375,51859.234375,1219.419189453125,72270.109375,772.0,3793513.0,58144.0,2.0,147566.0,3.0
7,160000.0,47812740.0,0.0,0.0,3766899.0,46482.0,0.0,186619.0,1458.94677734375,2410.232666015625,1171.340087890625,14695.8857421875,51459.8828125,1187.3994140625,72383.765625,724.0,3794957.0,56788.0,1.0,147528.0,2.0
8,180000.0,47812740.0,0.0,0.0,3725594.0,59074.0,0.0,215332.0,1779.44775390625,2848.220458984375,1582.374267578125,15569.046875,61402.55859375,1914.499267578125,85114.3359375,984.0,3757746.0,71499.0,1.0,169767.0,3.0
9,200000.0,47812740.0,0.0,0.0,3725336.0,59786.0,0.0,214878.0,1654.94482421875,2640.33837890625,1495.1846923828125,16261.478515625,57245.3203125,1554.181396484375,80874.0546875,820.0,3755685.0,71999.0,0.0,171495.0,1.0
