,Point Defect Cnts,Clsuter Vlm,PCF PC 1,PCF PC 2,DislocationAnalysis.length.1/2<110>,DislocationAnalysis.length.1/3<100>,DislocationAnalysis.length.1/3<111>,DislocationAnalysis.length.1/6<110>,DislocationAnalysis.length.1/6<112>,DislocationAnalysis.length.other,DislocationAnalysis.total_line_length
Point Defect Cnts,1.0,0.9925889565763585,-0.9986988883604733,0.03384192868587103,0.8635349366625755,0.5893822754672907,0.6109397626191024,0.8902412786734304,0.9746252186791541,0.7876407267784429,0.9798760734423382
Clsuter Vlm,0.9925889565763585,1.0,-0.9963211166160448,-0.08322869998273931,0.8553611174657988,0.5683477780459647,0.6456191177785291,0.9215185037737599,0.9732555995917912,0.7598219148504046,0.9846902312975296
PCF PC 1,-0.9986988883604733,-0.9963211166160448,1.0,1.0855475955499333e-16,-0.8617308374708235,-0.5780217064356105,-0.6241685481632034,-0.9009314597514742,-0.9752504823511848,-0.7795509164837969,-0.9823211175583921
PCF PC 2,0.03384192868587103,-0.08322869998273931,1.0855475955499333e-16,1.0,0.050372523483003126,0.11225040862405795,-0.28498052694906284,-0.2765821386894028,-0.0021156930563287902,0.21982207912360527,-0.05577844785219709
DislocationAnalysis.length.1/2<110>,0.8635349366625755,0.8553611174657988,-0.8617308374708235,0.050372523483003126,1.0,0.583188245203153,0.4931801767184666,0.6813588505394205,0.9074453065763043,0.7612005926629593,0.8857183612397505
DislocationAnalysis.length.1/3<100>,0.5893822754672907,0.5683477780459647,-0.5780217064356105,0.11225040862405795,0.583188245203153,1.0,0.29360760260670804,0.47642766618661475,0.6347948228545481,0.6321890363202577,0.6330325236746219
DislocationAnalysis.length.1/3<111>,0.6109397626191024,0.6456191177785291,-0.6241685481632034,-0.28498052694906284,0.4931801767184666,0.29360760260670804,1.0,0.6995615706422089,0.5952635719402884,0.4380654843974104,0.6396087501181776
DislocationAnalysis.length.1/6<110>,0.8902412786734304,0.9215185037737599,-0.9009314597514742,-0.2765821386894028,0.6813588505394205,0.47642766618661475,0.6995615706422089,1.0,0.8535107399808437,0.6480350042692751,0.9045304573488923
DislocationAnalysis.length.1/6<112>,0.9746252186791541,0.9732555995917912,-0.9752504823511848,-0.0021156930563287902,0.9074453065763043,0.6347948228545481,0.5952635719402884,0.8535107399808437,1.0,0.8234231478005869,0.9936289149272582
DislocationAnalysis.length.other,0.7876407267784429,0.7598219148504046,-0.7795509164837969,0.21982207912360527,0.7612005926629593,0.6321890363202577,0.4380654843974104,0.6480350042692751,0.8234231478005869,1.0,0.8181524334697976
DislocationAnalysis.total_line_length,0.9798760734423382,0.9846902312975296,-0.9823211175583921,-0.05577844785219709,0.8857183612397505,0.6330325236746219,0.6396087501181776,0.9045304573488923,0.9936289149272582,0.8181524334697976,1.0
